product_id,product_name,피부타입,formula_group,y_total_reviews,y_negative_rate_raw,y_negative_rate_smoothed,high_risk,predict_proba,prediction,is_correct
A000000174316,라로슈포제 시카플라스트 밤B5,트러블성,99add072facd538a5708ec2364350f93,46,0.10869565217391304,0.09332273219044299,1,0.4864858352780825,1,1
A000000185456,나인위시스 비건 화이트 톤업 크림,건성,5033721a00eb770d2d7115409cd20030,55,0.12727272727272726,0.1087906709942565,1,0.47461855904027866,1,1
A000000185456,나인위시스 비건 화이트 톤업 크림,민감성,5033721a00eb770d2d7115409cd20030,55,0.09090909090909091,0.08212400432758983,1,0.4859119101398896,1,1
A000000185456,나인위시스 비건 화이트 톤업 크림,복합성,5033721a00eb770d2d7115409cd20030,58,0.08620689655172414,0.07896538877652869,1,0.4894825503164901,1,1
A000000185456,나인위시스 비건 화이트 톤업 크림,중성,5033721a00eb770d2d7115409cd20030,22,0.13636363636363635,0.09903096010879137,1,0.4859119101398896,1,1
A000000185456,나인위시스 비건 화이트 톤업 크림,지성,5033721a00eb770d2d7115409cd20030,57,0.2807017543859649,0.22284805616323686,1,0.4995951319761708,1,1
A000000185456,나인위시스 비건 화이트 톤업 크림,트러블성,5033721a00eb770d2d7115409cd20030,51,0.1568627450980392,0.12900422992351038,1,0.48510946495646323,1,1
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,건성,4f72fde8ec3ffffd8a30cd23dfca3f21,50,0.1,0.0879900046367034,1,0.47772908209446613,1,1
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,민감성,4f72fde8ec3ffffd8a30cd23dfca3f21,55,0.07272727272727272,0.0687906709942565,0,0.4898355654358442,1,0
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,복합성,4f72fde8ec3ffffd8a30cd23dfca3f21,57,0.03508771929824561,0.041029874345055034,0,0.494418840433256,1,0
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,약건성,4f72fde8ec3ffffd8a30cd23dfca3f21,12,0.08333333333333333,0.06747813514278868,0,0.4699706404679447,0,1
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,중성,4f72fde8ec3ffffd8a30cd23dfca3f21,22,0.045454545454545456,0.05141191248974376,0,0.494418840433256,1,0
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,지성,4f72fde8ec3ffffd8a30cd23dfca3f21,51,0.11764705882352941,0.10083521583900334,1,0.500261717810353,1,1
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,트러블성,4f72fde8ec3ffffd8a30cd23dfca3f21,27,0.07407407407407407,0.06721915584189868,0,0.4921691478207094,1,0
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,건성,68591b1b3cc34d35742803d57ec9f797,40,0.1,0.08598833874282062,1,0.6224909276429986,1,1
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,민감성,68591b1b3cc34d35742803d57ec9f797,47,0.0851063829787234,0.07700448245625727,1,0.6365838250088812,1,1
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,복합성,68591b1b3cc34d35742803d57ec9f797,40,0.025,0.035988338742820626,0,0.6330971957538304,1,0
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,약건성,68591b1b3cc34d35742803d57ec9f797,18,0.05555555555555555,0.056823692751822044,0,0.605508910037561,1,0
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,중성,68591b1b3cc34d35742803d57ec9f797,14,0.14285714285714285,0.09292059778144816,1,0.6365838250088812,1,1
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,지성,68591b1b3cc34d35742803d57ec9f797,46,0.13043478260869565,0.10847424734195814,1,0.6447223956664536,1,1
