상품번호,상품명,주성분
A000000249736,[색소침착/기미톤업제] 동국제약 멜라-셋 기미 토닝 크림 35g,"멜라셋 기미 토닝 크림 정제수, 세틸에틸헥사노에이트, 글리세린, 알부틴, 부틸렌글라이콜, 1,2-헥산다이올, 알파-알부틴, 다이메티콘, 세테아릴알코올, 다이카프릴릴카보네이트, 베타인, 세테아릴올리베이트, 메틸트라이메티콘, 솔비탄올리베이트, 폴리솔베이트60, 폴리아크릴레이트-13, 피이지-100스테아레이트, 글리세릴스테아레이트, 솔비탄세스퀴올리에이트, 카보머, 트로메타민, 폴리아이소부텐, 다이메티콘/비닐다이메티콘크로스폴리머, 하이드로제네이티드레시틴, 토코페롤, 판테놀, 프로판다이올, 스핑고모나스발효추출물, 에틸헥실글리세린, 폴리솔베이트20, 솔비탄아이소스테아레이트, 다이소듐이디티에이, 나이아신아마이드, 트라넥사믹애씨드, 폴리글리세릴-10올리에이트, 레시틴, 엑토인, 폴리글리세릴-10라우레이트, 폴리글리세릴-4카프레이트, 바쿠치올, 마데카식애씨드, 비파나무잎추출물, 아시아티코사이드, 비타민나무열매추출물, 아시아틱애씨드, 스피어민트추출물, 폴리글리세릴-10스테아레이트, 소듐아스코빌포스페이트, 피리독신, 바이오틴, 사이아노코발아민, 티아민에이치씨엘, 리보플라빈, 베타-카로틴"
A000000219716,[단독기획/5겹장벽크림] 파티온 노스카나인 트러블 크림 45ml 기획(+5ml+세럼 5ml),"정제수, 글리세린, 메도우폼씨오일, 카프릴릭/카프릭트라이글리세라이드, 비닐다이메티콘, 다이글리세린, 폴리글리세릴-3다이스테아레이트, 세테아릴알코올, 1,2-헥산다이올, 펜틸렌글라이콜, 클로렐라 불가리스추출물, 소듐헤파린, 쑥잎추출물, 병풀추출물, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드쌀겨오일, 하이드로제네이티드레시틴, 세테아릴올리베이트, 소듐스테아로일글루타메이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-2스테아레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아이소도데케인, 하이드록시아세토페논, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글루코오스, 솔비탄올리베이트, 글리세릴스테아레이트, 판테놀, 글리세릴스테아레이트시트레이트, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 스테아릭애씨드, 석시닉애씨드, 다이메티콘/비닐다이메티콘크로스폴리머, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 소듐파이테이트, 솔비탄아이소스테아레이트, 폴리글리세릴-10스테아레이트, 다이프로필렌글라이콜, 세라마이드엔피, 알란토인, 베타-글루칸, 폴리글리세릴-10라우레이트, 세라마이드엔에스, 콜레스테롤, 에틸헥실글리세린, 피토스핑고신, 세라마이드에이피, 세라마이드에이에스, 스쿠알란, 세라마이드이오피, 카프릴릴/카프릴글루코사이드, 스테아릴알코올, 잔탄검"
A000000247726,[한정기획] 메이크프렘 인테카 수딩크림 70ml 기획 (+크림 31ml*2+NMN 앰플 7ml),"[인테카 수딩 크림 / 본품] 정제수, 프로판다이올, 글리세린, 글리세릴글루코사이드, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리데센, 나이아신아마이드, 부틸렌글라이콜, 솔비톨, 세테아릴올리베이트, 비닐다이메티콘, 솔비탄올리베이트, 카보머, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물*, 해바라기씨오일*, 아시아티코사이드*, 아시아틱애씨드*, 마데카식애씨드*, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 다이프로필렌글라이콜*, 글리세릴스테아레이트에스이, 하이드로제네이티드레시틴, 트로메타민, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 에톡시다이글라이콜* [NMN 퍼밍 엑스퍼트 앰플 / 증정] 정제수, 글리세린, 다이프로필렌글라이콜, 스쿠알란, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 나이아신아마이드, 부틸렌글라이콜, 베타인, 니코틴아마이드모노뉴클레오타이드(10,000ppm), 메틸프로판다이올, 폴리솔베이트60, 글리세릴스테아레이트, 글리세릴스테아레이트에스이, 폴리메틸실세스퀴옥세인, 아라키딜알코올, C14-22알코올, 카보머, 베헤닐알코올, 알지닌, 하이드로제네이티드캐스터오일/세바식애씨드코폴리머, 아라키딜글루코사이드, 에틸헥실글리세린, C12-20알킬글루코사이드, 니코틴아마이드아데닌다이뉴클레오타이드, 알란토인, 판테놀, 카프릴하이드록사믹애씨드, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아이소부텐, 아데노신, 인도멀구슬나무꽃추출물, 1,2-헥산다이올, 홀리바질잎추출물, 덱스트린, 카카오추출물, 다이소듐이디티에이, 인도멀구슬나무잎추출물, 레몬밤잎추출물, 울금뿌리추출물, 레스베라트롤, 소듐하이알루로네이트, 참산호말추출물, 폴리쿼터늄-51, 카프릴릴/카프릴글루코사이드, 솔비탄올리에이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 폴리솔베이트20, 트라이펩타이드-1, 헥사펩타이드 -9, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일테트라펩타이드-7"
A000000244953,[7월 올영픽/온라인추가증정] 라로슈포제 히알루 B5 수분탄력 크림 50ml 기획 (+3ml+히알루세럼10ml),"[히알루B5 크림] 정제수 글리세린 아이소헥사데칸 프로판다이올 변성알코올 아이소프로필아이소스테아레이트 판테놀 다이메티콘 옥틸도데칸올 베헤닐알코올 세틸알코올 갈랑가갈랑갈잎추출물 스테아릭애씨드 칼슘클로라이드 세테아릴알코올 세테아릴글루코사이드 피이지-100스테아레이트 소듐하이알루로네이트(0.2004%) 소듐하이드록사이드 알진 실리카 미리스틱애씨드 셀룰로오스 팔미틱애씨드 아데노신 암모늄폴리아크릴로일다이메틸타우레이트 다이소듐스테아로일글루타메이트 엑토인 하이드롤라이즈드하이알루로닉애씨드(0.0208%) 하이드록시아세토페논 카프릴릭/카프릭트라이글리세라이드 카프릴로일살리실릭애씨드 시트릭애씨드 라우레스-7 트라이소듐에틸렌다이아민다이석시네이트 아세틸글루코사민 잔탄검 펜틸렌글라이콜 파이틱애씨드 폴리아크릴아마이드 폴리엡실론-라이신 부틸렌글라이콜 1,2-헥산다이올 C13-14아이소알케인 페녹시에탄올 향료 [히알루B5 세럼] 정제수 글리세린 변성알코올 프로필렌글라이콜 판테놀 펜틸렌글라이콜 다이메티콘 피이지-6카프릴릭/카프릭글리세라이즈 갈랑가갈랑갈잎추출물 칼슘클로라이드 글리세릴아이소스테아레이트 마데카소사이드 피피지-6-데실테트라데세스-30 소듐아세틸레이티드하이알루로네이트(0.01%) 소듐하이알루로네이트(0.2004%) 알진 아데노신 암모늄폴리아크릴로일다이메틸타우레이트 프로판다이올 하이드롤라이즈드하이알루로닉애씨드(0.1208%) 하이드록시아세토페논 카프릴릭/카프릭트라이글리세라이드 카프릴릴글라이콜 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 아세틸글루코사민 잔탄검 부틸렌글라이콜 1,2-헥산다이올 토코페롤 페녹시에탄올 향료"
A000000259298,아비브 히알루로닉 붐 크림 워터튜브 75ml 더블 기획,"정제수, 글리세린, 메틸프로판다이올, 부틸렌글라이콜, 1,2-헥산다이올, 펜틸렌글라이콜, 다이글리세린, 글리세릴글루코사이드, 트레할로오스, 에틸헥실아이소노나노에이트, 카보머, 알지닌, 옥수수전분, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 소듐하이알루로네이트(1,145 ppm), 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 세라마이드엔피, 에리스리톨, 스테아릭애씨드, 에틸헥실글리세린, 잔탄검, 셀룰로오스, 하이드로제네이티드레시틴, 글루코오스, 소듐파이테이트, 피브이엠/엠에이코폴리머, 알란토인, 덱스트린, 하이알루로닉애씨드/폴리아이소프로필아크릴아마이드코폴리머(20 ppm), 치자추출물, 아세틸글루코사민, 엑토인, 판테놀, 자일로글루칸, 토코페롤, 수용성콜라겐"
A000000250254,[화잘먹/100시간수분] 아이소이 모이스춰 닥터 장수진 수분크림 50ml 1+1 기획 (+20ml),"정제수, 글리세린, 세틸에틸헥사노에이트, 카프릴릭/카프릭트라이글리세라이드, 베타인, 마카다미아씨오일, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 티트리잎추출물, 쇠비름추출물, 약모밀추출물(어성초추출물), 판테놀, 피토스핑고신, 세라마이드엔피, 알지닌, 카보머, 흰버드나무껍질추출물, 오레가노잎추출물, 편백잎추출물, 락토바실러스/콩발효추출물, 육계나무껍질추출물, 잔탄검, 솔비탄세스퀴올리에이트, 자몽껍질오일, 부틸렌글라이콜, 1,2-헥산다이올, 프로판다이올, 포트마리골드꽃추출물, 황금추출물, 모란뿌리추출물, 스페인감초뿌리추출물, 하이드로제네이티드레시틴, 리모넨※ ※자연유래 에센셜 오일에 원래 포함된 성분입니다"
A000000199889,[조슈아PICK/화잘먹] 리얼베리어 익스트림 크림 라이트 70ml 기획 (+30ml),"정제수, 메틸프로판다이올, 카프릴릭/카프릭트라이글리세라이드, 사이클로펜타실록세인, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 판테놀(29,700 ppm), 솔비탄스테아레이트, 세테아릴알코올, 하이드록시에틸우레아, 식물성스쿠알란, 글리세릴스테아레이트시트레이트, 1,2-헥산다이올, 카놀라오일, 글리세린, 소듐아크릴릭애씨드/엠에이코폴리머, 카프릴릴글라이콜, 알지닌, 알란토인, 카보머, 토코페롤, 부틸렌글라이콜, 다이하이드록시아이소프로필팔모일팜아마이드, 피토스테롤, 잔탄검, 해바라기씨오일, 카프로일메틸세리네이트, 엑토인, 프로판다이올, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 비스-카프릴로일옥시팔미타미도아이소프로판올, 마데카소사이드, 하이드롤라이즈드하이알루로닉애씨드, 광곽향오일, 살비아오일, 벤질글라이콜, 하이드록시프로필트라이모늄하이알루로네이트, 소두구씨오일, 캐모마일꽃오일, 콘민트오일, 베타-글루칸, 리놀레익애씨드, 멕시칸주니퍼오일, 소듐아세틸레이티드하이알루로네이트, 에틸헥실글리세린, 하이알루로닉애씨드, 라즈베리케톤"
A000000208331,바이오더마 시카비오 크림+ 40ml(딥 리페어 크림),"정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 폴리글리세릴-3폴리리시놀리에이트, 유채씨오일, 부틸렌글라이콜, 타피오카전분, 하이드로제네이티드유채씨오일, 자일로오스, 폴리글리세릴-3다이아이소스테아레이트, 호호바씨오일, 마그네슘설페이트, 펜틸렌글라이콜, 스쿠알란, 1,2-헥산다이올, 카프릴릴글라이콜, 소듐폴리글루타메이트, 소듐시트레이트, 잔탄검, 소듐하이알루로네이트, 토코페롤, 만니톨, 람노오스, 자일리톨, 아세틸다이펩타이드-1세틸에스터, 해바라기씨오일, 시트릭애씨드, 프룩토올리고사카라이드"
A000000257128,[텔레토비 콜라보] 구달 어성초 히알루론 수딩 크림 75ml 리필 기획 (+75ml) (+왕 스티커 3매),"정제수, 글리세린, 비닐다이메티콘, 부틸렌글라이콜, 카프릴릴메티콘, 다이프로필렌글라이콜, 1,2-헥산다이올, 펜틸렌글라이콜, 에리스리톨, 자일리톨, 어성초추출물(=약모밀추출물, 6,501ppm), 효모발효여과물, 소듐하이알루로네이트(102.1ppm), 편백오일, 유칼립투스잎오일, 하이드롤라이즈드하이알루로닉애씨드(0.15ppm), 하이알루로닉애씨드(0.1ppm), 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 포도씨오일, 병풀잎추출물, 산구절초추출물, 해바라기씨오일, 쇠비름추출물, 에틸헥실팔미테이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 솔비톨, 트로메타민, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린, 판테놀, 하이드로제네이티드레시틴, 소듐파이테이트, 세라마이드엔피, 베타-글루칸, 다발방패버섯추출물, 엑토인, 셀룰로오스, 폴리글루타믹애씨드, 하이알루로닉애씨드/폴리아이소프로필아크릴아마이드코폴리머(1ppm), 글리세릴카프릴레이트, 다이메틸실란올하이알루로네이트(0.15ppm), 하이드롤라이즈드소듐하이알루로네이트(0.15ppm), 포타슘하이알루로네이트(0.1ppm), 토코페롤, 하이드록시프로필트라이모늄하이알루로네이트(0.08ppm), 소듐하이알루로네이트크로스폴리머(0.08ppm), 프로판다이올, 소듐하이알루로네이트다이메틸실란올(0.05ppm), 소듐아세틸레이티드하이알루로네이트(0.04ppm), 폴리글리세릴-10아이소스테아레이트, 폴리글리세릴-10올리에이트, 스테아릭애씨드, 세라마이드엔에스, 콜레스테롤, 피토스핑고신, 세라마이드에이피, 세라마이드에이에스, 세라마이드이오피, 카보머, 세테아릴알코올"
A000000188751,[김재원 PICK] 몰바니 아티초크 카밍 케어 수딩 크림 100ml ,"정제수, 글리세린, 2,3-부탄다이올, 1,2-헥산다이올, 나이아신아마이드, C13-15알케인, 카프릴릭/카프릭트라이글리세라이드, 아티초크잎추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 복령균핵추출물, 가지열매추출물, 울금뿌리추출물, 홀리바질잎추출물, 밤부사 불가리스싹추출물, 밤부사불가리스잎/줄기추출물, 참산호말추출물, 다시마추출물, 밤부사 불가리스수, 수용성콜라겐, 베타-글루칸, 소듐아크릴레이트코폴리머, 베타인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리 글리세릴-2스테아레이트, 글리세릴스테아레이트, 스테아릴알코올, 판테놀, 아크릴레이트 /C10-30알킬아크릴레이트크로스폴리머, 알지닌, 레시틴, 잔탄검, 알란토인, 다이포타슘글리시리제이트, 시트릭애씨드, 토코페롤, 아데노신, 구아검, 부틸렌글라이콜, 아가, 소듐시트레이트, 스쿠알란, 엑토인, 호박가루, 드럼스틱씨오일, 향료, 에틸헥실글리세린, 펜틸렌글라이콜, 카프릴릴글라이콜"
A000000260348,[4배속_응급진정/장벽강화]리쥬덱스 더마 리페어링 크림 20g(단품/기획),"정제수, 세테아릴알코올, 시어버터, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 글리세린, 세테아릴올리베이트, 프로판다이올, 솔비탄올리베이트, 하이드롤라이즈드디엔에이, 세틸알코올, 베헤닐알코올, 다이메티콘, 글리세릴스테아레이트에스이, 글리세릴스테아레이트, 에틸헥실올리베이트, 잔탄검, 소듐아크릴레이트코폴리머, 세테아릴글루코사이드, 폴리글리세릴-4올리에이트, 토코페롤, 아데노신, 편백잎추출물, 다이소듐이디티에이, 판테놀, 1,2-헥산다이올, 병풀추출물, 마데카식애씨드, 아시아틱애씨드, 아시아티코사이드, 마데카소사이드, 에스에이치-올리고펩타이드-1"
A000000250188,[촉촉광채/올인원멀티케어] 가히 멀티밤 9g,"해바라기씨오일, 폴리글리세릴-2트라이아이소스테아레이트, 칸데릴라왁스, 사과씨오일, 스위트아몬드오일, 시어버터, 옥틸도데칸올, 쌀겨왁스, 파라핀, 마이크로크리스탈린왁스, 스쿠알란, 향료, 스테아릭애씨드, 그롬웰뿌리추출물, 토코페롤, 벤질살리실레이트, 유용성감초추출물, 아데노신, 하이드록시시트로넬알, 헥실신남알, 시트로넬올, 알파-아이소메틸아이오논, 바실러스발효물, 알칸나뿌리추출물, 쌀배아오일, 비에이치티, 오미자추출물, 치자추출물, 지치뿌리추출물, 울금뿌리추출물, 정제수, 카놀라오일, 타라열매추출물, 코토니추출물, 부틸렌글라이콜, 1,2-헥산다이올, 클로렐라 불가리스추출물, 당근씨오일, 하이드롤라이즈드콜라겐, 당근추출물, 베타-카로틴, 토코페릴아세테이트, 백미꽃추출물, 에틸헥실글리세린, 수용성프로테오글리칸, 접시꽃추출물, 소듐디엔에이"
A000000230799,[모공천재/화잘먹] 오드로이 모공수축 크림 모공요철 케어 100ml 더블기획 (+미스트앰플 30ml),"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 마카다미아씨오일, 하이드로제네이티드폴리(C6-14올레핀), 다이카프릴릴카보네이트, 알지닌, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴카프릴레이트, 세테아릴올리베이트, 스쿠알란, 솔비탄올리베이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 해바라기씨오일, 알란토인, 완두콩추출물, 약모밀추출물, 토코페롤, 향료, 에난티아 클로란타껍질추출물, 다이포타슘글리시리제이트, 아데노신, 소듐글루코네이트, 시트릭애씨드, 블랙체리열매추출물, 펜틸렌글라이콜, 하이드롤라이즈드콜라겐, 올레아놀릭애씨드"
A000000206053,[수딩진정] 넘버즈인 1번 판토텐산 액티브 수딩크림 80ml 1+1 기획,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 세틸에틸헥사노에이트, 다이카프릴릴카보네이트, 1,2-헥산다이올, 펜틸렌글라이콜, 비닐다이메티콘, 병풀추출물, 클로렐라 불가리스추출물, 도둑놈의지팡이뿌리추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 홀리바질잎추출물, 울금뿌리추출물, 알로에베라꽃추출물, 가지열매추출물, 참산호말추출물, 녹차추출물, 병풀잎추출물, 오카무라큰실말추출물, 흰버드나무껍질추출물, 약모밀추출물, 커피콩추출물, 베르가모트잎추출물, 소나무잎추출물, 알파-알부틴, 아르간커넬오일, 참깨오일, 사발팜열매추출물, 스페인감초뿌리추출물, 카프릴릴메티콘, 에리스리톨, 판테놀, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이메티콘올, 폴리메틸실세스퀴옥세인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글루코오스, 트로메타민, 실리카, 프룩토올리고사카라이드, 프룩토오스, 에틸헥실글리세린, 소듐파이테이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 토코페롤, 데실글루코사이드, 판토테닉애씨드, 폴리글리세릴-4카프레이트, 폴리글리세릴-6카프릴레이트, 징크피씨에이, 메틸다이아이소프로필프로피온아마이드, 베타-시토스테롤, 잔탄검"
A000000187127,피지오겔 레드수딩 시카밸런스 크림 80ml 대용량,"정제수, 하이드로제네이티드폴리아이소부텐, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 하이드로제네이티드폴리데센, 나이아신아마이드, 판테놀, 트레할로오스, 스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 베타-글루칸, 폴리메틸실세스퀴옥세인, 솔비탄아이소스테아레이트, 아세타마이드엠이에이, 사코신, 팔미타마이드엠이에이, 세라마이드엔피, 하이드로제네이티드레시틴, 마데카소사이드(245 ppm), 아시아티코사이드(0.40 ppm), 마데카식애씨드(0.35 ppm), 아시아틱애씨드(0.25 ppm), 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트로메타민"
A000000249734,[압출후] 동국제약 마데카셀 센테카솔 연고(무향) 30g (의약외품),수집실패
A000000258860,[고현정 PICK]코이 플로우 리프팅 랩핑 크림 포어앤쿨 50g 기획 (+ 미니 20g),"정제수, 다이페닐실록시페닐트라이메티콘, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 프로판다이올, 아이소노닐아이소노나노에이트, 나이아신아마이드, 1,2-헥산다이올, 자일리톨, 폴리글리세릴-10라우레이트, 폴리아크릴레이트크로스폴리머-6, 에리스리톨, 캐스터오일/아이피디아이코폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 잔탄검, 트로메타민, 향료, 에틸헥실글리세린, 아데노신, 알지닌, 카보머, 다이소듐이디티에이, 덱스트린, t-부틸알코올, 레몬그라스추출물, 알로에베라잎추출물, 유칼립투스잎추출물, 콘민트추출물, 아모다이메티콘, 티트리잎오일, 치자추출물, 메도우폼씨오일, 회향씨추출물, 판테놀, 샤프란꽃추출물, 고수추출물, 병풀추출물, 소두구씨추출물, 매듭풀추출물, 레드신코나나무껍질추출물, 팔미토일트라이펩타이드-5, 글리세릴글루코사이드, 마누카잎추출물, 카프릴릴글라이콜, 토코페롤, 포도추출물, 소듐하이알루로네이트, 솔비탄라우레이트, 감나무잎추출물, 커피콩추출물, 잇꽃꽃추출물, 호장근뿌리추출물, 아텔로콜라겐, 데사미도콜라겐, 밤껍질추출물, 녹차추출물, 초피나무열매추출물, 하이드롤라이즈드콜라겐, 하이드록시에틸셀룰로오스, 아세틸다이펩타이드-1세틸에스터, 수용성콜라겐, 콜라겐, 콜라겐아미노산, 아세틸헥사펩타이드-1, 프로콜라겐, 소듐디엔에이, 아세틸옥타펩타이드-3, 테트라메틸아세틸옥타하이드로나프탈렌, 쿠마린, 터피네올, 리날릴아세테이트"
A000000249580,[트러블 피부 추천/약산성 장벽 케어] 제로이드 핌프로브 레드 컨트롤 크림 pH4 80ml,"정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 호호바씨오일, 세테아릴알코올, 솔비탄스테아레이트, 1,2-헥산다이올, 스테아릭애씨드, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 글리세릴스테아레이트, 다이메티콘, 폴리글리세릴-6다이스테아레이트, 피토스테롤, 토코페릴아세테이트, 카보머, 호호바에스터, 올레아마이드엠이에이, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 폴리글리세릴-3비즈왁스, 세틸알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 소듐하이알루로네이트, 잔탄검, 카프릴릴글라이콜"
A000000166586,[대용량] 라운드랩 자작나무 수분 크림 120ml 대용량 기획(+패드 4매),"[본품 : 라운드랩 자작나무 수분 크림] 정제수, 글리세린, 아이소노닐아이소노나노에이트, 아이소도데케인, 1,2-헥산다이올, 펜틸렌글라이콜, 폴리데센, 자작나무수액(10,000ppm), 호호바에스터, 판테놀, 글리세릴글루코사이드, 아라비아고무나무검, 하이드롤라이즈드오크라추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 화이트루핀씨추출물, 드럼스틱씨추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 알로에베라꽃추출물, 가지열매추출물, 홀리바질잎추출물, 참산호말추출물, 울금뿌리추출물, 아스코빅애씨드, 펜타에리스리틸테트라에틸헥사노에이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 에틸헥실글리세린, 아가, 다이포타슘글리시리제이트, 글리세릴카프릴레이트, 부틸렌글라이콜, 다이소듐이디티에이 [증정품 : 라운드랩 자작나무 수분 패드] 정제수, 다이프로필렌글라이콜, 글리세린, 자작나무수액(10,967ppm), 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 글루코오스, 다이포타슘글리시리제이트, 소듐하이알루로네이트, 판테놀, 글리세릴글루코사이드, 글리세릴카프릴레이트, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 아스코빅애씨드, 알란토인, 1,2-헥산다이올, 알지닌, 헥실렌글라이콜, 하이드록시아세토페논, 다이소듐이디티에이, 잔탄검, 카보머"
A000000204308,[모공고민|화잘먹] 바이오힐보 프로바이오덤 콜라겐 리모델링 크림 [단품/증정기획],"정제수, 글리세린, 프로판다이올, 메틸프로판다이올, 페닐트라이메티콘, 락토바실러스발효물, 펜틸렌글라이콜, 콜라겐(40 ppm), 콜라겐추출물(40 ppm), 달맞이꽃꽃추출물, 당느릅나무뿌리추출물, 대왕소나무잎추출물, 칡뿌리추출물, 하이드로제네이티드레시틴, 피토스테롤, 비닐다이메티콘, 1,2-헥산다이올, 판테놀, 폴리메틸실세스퀴옥세인, 아라키딜알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 베타인, 하이드록시아세토페논, 다이메티콘올, 스테아릭애씨드, 베헤닐알코올, 아라키딜글루코사이드, 에틸헥실글리세린, 세테아릴알코올, 아데노신, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 세라마이드엔피, 솔비탄아이소스테아레이트, 트로메타민, 3-O-에틸아스코빅애씨드, 잔탄검, 베타-글루칸, 하이드롤라이즈드옥수수전분, 글라이코사미노글리칸, 하이드롤라이즈드엘라스틴, 수크로오스, 사이아노코발아민, 프룩토올리고사카라이드, 토코페롤, 글루코노락톤, 카프릴로일살리실릭애씨드, 탄닉애씨드, 하이드록시프로필사이클로덱스트린, 프룩탄, 이눌린, 노나펩타이드-1, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 카프릴릭/카프릭트라이글리세라이드, 트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 펜타펩타이드-3, 헥사펩타이드-9, 수크로오스다이스테아레이트, 향료"
A000000233614,[1+1/화잘먹] 이니스프리 그린티 수분크림 50ml 더블기획,"정제수, 프로판다이올, 글리세린, 스테아릴다이메티콘, 메틸트라이메티콘, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 펜타에리스리틸테트라에틸헥사노에이트, 녹차씨오일, 1,2-헥산다이올, 글리세릴폴리메타크릴레이트, 폴리메틸실세스퀴옥세인, 스쿠알란, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 카보머, 트라이에틸시트레이트, 하이드로제네이티드레시틴, 콜레스테롤, 글리세릴스테아레이트, 트로메타민, 리모넨, 락토바실러스발효용해물, 하이알루로닉애씨드, 판테놀, 알란토인, 세테아릴알코올, 잔탄검, 글리세릴카프릴레이트, 소듐스테아로일글루타메이트, 부틸렌글라이콜, 에틸헥실글리세린, 다이소듐이디티에이, 레몬껍질오일, 솔비탄아이소스테아레이트, 녹차추출물, 마테잎추출물, 소듐하이알루로네이트, 마데카소사이드, 락틱애씨드, 시트랄, 덱스트린, 카카오추출물, 소두구씨오일, 스피어민트잎오일, 리날룰, 시트로넬라오일, 하이드롤라이즈드하이알루로닉애씨드, 갈바눔수지오일, 소듐하이알루로네이트크로스폴리머, 녹차씨추출물, 세라마이드엔피, 토코페롤, 피토스핑고신, 소듐아세틸레이티드하이알루로네이트"
