product_id,product_name,canonical_name,ingredient_order,concentration_ppm
A000000233337,션리 다시마 글레이즈드 크림,메틸프로판다이올,7,
A000000233337,션리 다시마 글레이즈드 크림,라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,8,
A000000233337,션리 다시마 글레이즈드 크림,나이아신아마이드,9,
A000000233337,션리 다시마 글레이즈드 크림,비닐다이메티콘,10,
A000000233337,션리 다시마 글레이즈드 크림,"1,2-헥산다이올",11,
A000000233337,션리 다시마 글레이즈드 크림,마그네슘설페이트,12,
A000000233337,션리 다시마 글레이즈드 크림,하이드록시아세토페논,13,
A000000233337,션리 다시마 글레이즈드 크림,부틸렌글라이콜,14,
A000000233337,션리 다시마 글레이즈드 크림,옥수수전분,15,
A000000233337,션리 다시마 글레이즈드 크림,만니톨,16,
A000000233337,션리 다시마 글레이즈드 크림,마이크로크리스탈린셀룰로오스,17,
A000000233337,션리 다시마 글레이즈드 크림,에틸헥실글리세린,18,
A000000233337,션리 다시마 글레이즈드 크림,하이드로제네이티드레시틴,19,
A000000233337,션리 다시마 글레이즈드 크림,아데노신,20,
A000000233337,션리 다시마 글레이즈드 크림,다이소듐이디티에이,21,
A000000233337,션리 다시마 글레이즈드 크림,잇꽃꽃추출물,22,
A000000233337,션리 다시마 글레이즈드 크림,덱스트린,23,
A000000233337,션리 다시마 글레이즈드 크림,치자추출물,24,
A000000233337,션리 다시마 글레이즈드 크림,하이드로제네이티드폴리데센,25,
A000000233337,션리 다시마 글레이즈드 크림,소듐하이알루로네이트,26,
A000000233337,션리 다시마 글레이즈드 크림,크로뮴옥사이드그린,27,
A000000233337,션리 다시마 글레이즈드 크림,무화과추출물,28,
A000000233337,션리 다시마 글레이즈드 크림,하이드록시프로필스타치포스페이트,29,
A000000233337,션리 다시마 글레이즈드 크림,아이소노닐아이소노나노에이트,30,
A000000233337,션리 다시마 글레이즈드 크림,폴리글리세릴-10스테아레이트,31,
A000000233337,션리 다시마 글레이즈드 크림,토코페롤,32,
A000000233337,션리 다시마 글레이즈드 크림,세테아릴알코올,33,
A000000233337,션리 다시마 글레이즈드 크림,하이드롤라이즈드식물성단백질,34,
A000000233337,션리 다시마 글레이즈드 크림,말토덱스트린,35,
A000000233337,션리 다시마 글레이즈드 크림,소듐스테아로일글루타메이트,36,
A000000233337,션리 다시마 글레이즈드 크림,팔미틱애씨드,37,
A000000233337,션리 다시마 글레이즈드 크림,스테아릭애씨드,38,
A000000233337,션리 다시마 글레이즈드 크림,감태추출물,39,
A000000233337,션리 다시마 글레이즈드 크림,참미역추출물,40,
A000000233337,션리 다시마 글레이즈드 크림,호스테일켈프추출물,41,
A000000233337,션리 다시마 글레이즈드 크림,자이언트켈프추출물,42,
A000000233337,션리 다시마 글레이즈드 크림,달맞이꽃꽃추출물,43,
A000000233337,션리 다시마 글레이즈드 크림,대왕소나무잎추출물,44,
A000000233337,션리 다시마 글레이즈드 크림,칡뿌리추출물,45,
A000000233337,션리 다시마 글레이즈드 크림,당느릅나무뿌리추출물,46,
A000000233337,션리 다시마 글레이즈드 크림,잇꽃씨오일,47,
A000000233337,션리 다시마 글레이즈드 크림,하이드로제네이티드포스파티딜콜린,48,
A000000233337,션리 다시마 글레이즈드 크림,달맞이꽃오일,49,
A000000233337,션리 다시마 글레이즈드 크림,스쿠알란,50,
A000000233337,션리 다시마 글레이즈드 크림,폴리쿼터늄-51,51,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,정제수,1,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,글리세린,2,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,나이아신아마이드,3,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,트라넥사믹애씨드,4,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,카프릴릭/카프릭트라이글리세라이드,5,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,다이프로필렌글라이콜,6,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,"1,2-헥산다이올",7,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,퀸즈랜드넛오일,8,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,페닐트라이메티콘,9,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,하이드로제네이티드폴리(C6-14올레핀),10,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,다이카프릴릴에터,11,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,비닐다이메티콘,12,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세테아릴알코올,13,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,프로판다이올,14,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세테아릴올리베이트,15,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,글리세릴스테아레이트에스이,16,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,솔비탄올리베이트,17,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,18,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,베헤닐알코올,19,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,다이메티콘올,20,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세테아릴글루코사이드,21,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,다시마추출물,22,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,한련초잎추출물,23,
