product_id,product_name,v3_total_ingredient_count,v3_count_humectant,v3_count_emollient,v3_count_occlusive,v3_count_barrier,v3_count_soothing,v3_count_active,v3_count_fragrance,v3_count_acid_exfoliant,v3_count_silicone,v3_count_peptide,v3_count_botanical_extract,v3_count_oil_butter,v3_ratio_humectant,v3_ratio_emollient,v3_ratio_occlusive,v3_ratio_barrier,v3_ratio_soothing,v3_ratio_active,v3_ratio_fragrance,v3_ratio_acid_exfoliant,v3_ratio_silicone,v3_ratio_peptide,v3_ratio_botanical_extract,v3_ratio_oil_butter
A000000163496,라운드랩 포 맨 자작나무 수분 크림,41,8,1,2,2,3,2,0,0,3,0,11,0,0.1951219512195122,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.0,0.0,0.07317073170731707,0.0,0.2682926829268293,0.0
A000000163687,비플레인 시카테롤 크림,31,8,2,0,2,7,2,0,0,0,0,2,0,0.25806451612903225,0.06451612903225806,0.0,0.06451612903225806,0.22580645161290322,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,0.0
A000000164614,어바웃미 숲 진정 수분 크림,49,6,1,4,0,5,2,0,0,3,0,11,3,0.12244897959183673,0.02040816326530612,0.08163265306122448,0.0,0.10204081632653061,0.04081632653061224,0.0,0.0,0.061224489795918366,0.0,0.22448979591836735,0.061224489795918366
A000000166586,라운드랩 자작나무 수분 크림,38,8,4,1,1,3,1,0,0,0,0,12,0,0.21052631578947367,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0,0.0,0.3157894736842105,0.0
A000000171829,바이오더마 아토덤 인텐시브 밤,36,6,2,1,5,0,1,0,0,0,0,1,3,0.16666666666666666,0.05555555555555555,0.027777777777777776,0.1388888888888889,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333
A000000172040,메이크프렘 인테카 수딩크림,30,10,2,2,1,3,2,0,0,1,0,0,1,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.1,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333
A000000172453,닥터지 레드 블레미쉬 클리어 모이스처 크림,50,8,6,3,6,7,1,0,0,2,0,1,1,0.16,0.12,0.06,0.12,0.14,0.02,0.0,0.0,0.04,0.0,0.02,0.02
A000000173140,달바 세럼 올인원 멀티밤,63,4,3,4,1,3,4,6,0,0,0,20,15,0.06349206349206349,0.047619047619047616,0.06349206349206349,0.015873015873015872,0.047619047619047616,0.06349206349206349,0.09523809523809523,0.0,0.0,0.0,0.31746031746031744,0.23809523809523808
A000000173180,비욘드 엔젤아쿠아 보습장벽크림,52,11,8,3,2,8,2,0,0,1,0,14,2,0.21153846153846154,0.15384615384615385,0.057692307692307696,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.0,0.0,0.019230769230769232,0.0,0.2692307692307692,0.038461538461538464
A000000174316,라로슈포제 시카플라스트 밤B5,33,5,2,4,1,3,1,0,0,2,0,1,1,0.15151515151515152,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304
A000000178512,웰라쥬 리얼 히알루로닉 100 크림,63,16,4,4,8,3,3,0,0,1,0,9,1,0.25396825396825395,0.06349206349206349,0.06349206349206349,0.12698412698412698,0.047619047619047616,0.047619047619047616,0.0,0.0,0.015873015873015872,0.0,0.14285714285714285,0.015873015873015872
A000000180543,코스알엑스 더 레티놀 0.1 크림,51,10,4,3,4,2,7,0,0,2,0,1,5,0.19607843137254902,0.0784313725490196,0.058823529411764705,0.0784313725490196,0.0392156862745098,0.13725490196078433,0.0,0.0,0.0392156862745098,0.0,0.0196078431372549,0.09803921568627451
A000000182685,에스트라 테라크네365 수딩 액티브 모이스처라이저,18,2,3,1,0,1,3,0,1,1,0,0,0,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
A000000182795,프리메라 알파인 베리 워터리 크림,39,3,8,5,3,1,2,3,0,2,0,2,2,0.07692307692307693,0.20512820512820512,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.07692307692307693,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128
A000000183498,에뛰드 순정 수분 베리어 크림,28,5,3,1,1,4,1,0,0,1,0,2,0,0.17857142857142858,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0
A000000183713,토리든 밸런스풀 시카 진정 크림,44,7,2,0,1,7,2,0,1,0,1,6,0,0.1590909090909091,0.045454545454545456,0.0,0.022727272727272728,0.1590909090909091,0.045454545454545456,0.0,0.022727272727272728,0.0,0.022727272727272728,0.13636363636363635,0.0
A000000185456,나인위시스 비건 화이트 톤업 크림,48,13,1,4,0,3,2,0,0,5,0,15,1,0.2708333333333333,0.020833333333333332,0.08333333333333333,0.0,0.0625,0.041666666666666664,0.0,0.0,0.10416666666666667,0.0,0.3125,0.020833333333333332
A000000187127,피지오겔 레드수딩 시카밸런스 크림,28,7,4,4,5,6,1,0,0,1,0,0,0,0.25,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.21428571428571427,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
A000000188751,몰바니 아티초크 카밍 케어 수딩 크림,50,11,4,1,5,5,3,1,0,0,0,12,1,0.22,0.08,0.02,0.1,0.1,0.06,0.02,0.0,0.0,0.0,0.24,0.02
A000000188831,조선미녀 조선미녀크림,37,7,3,2,3,0,2,0,0,0,0,7,2,0.1891891891891892,0.08108108108108109,0.05405405405405406,0.08108108108108109,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.1891891891891892,0.05405405405405406
A000000189000,라운드랩 약콩 판테놀 크림,39,6,7,2,9,1,1,0,0,1,0,1,1,0.15384615384615385,0.1794871794871795,0.05128205128205128,0.23076923076923078,0.02564102564102564,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564
A000000189056,에스트라 리제덤365 밀도탄력 캡슐크림,49,5,7,3,4,0,4,0,0,2,0,1,1,0.10204081632653061,0.14285714285714285,0.061224489795918366,0.08163265306122448,0.0,0.08163265306122448,0.0,0.0,0.04081632653061224,0.0,0.02040816326530612,0.02040816326530612
A000000189248,바이오힐보 판테셀 리페어시카 크림,53,7,4,0,4,7,13,0,0,0,12,2,1,0.1320754716981132,0.07547169811320754,0.0,0.07547169811320754,0.1320754716981132,0.24528301886792453,0.0,0.0,0.0,0.22641509433962265,0.03773584905660377,0.018867924528301886
A000000189587,헤라 하이드로 리플렉팅 마이크로 크림,50,8,3,0,2,2,5,1,0,0,1,5,1,0.16,0.06,0.0,0.04,0.04,0.1,0.02,0.0,0.0,0.02,0.1,0.02
A000000191715,아벤느 클리낭스 아쿠아크림-인-젤 수분 크림,25,4,2,0,0,0,2,1,0,0,0,1,0,0.16,0.08,0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.04,0.0
A000000192105,CKD 레티노콜라겐 저분자 300 괄사 목주름 크림,72,10,4,3,4,1,5,2,0,2,1,9,3,0.1388888888888889,0.05555555555555555,0.041666666666666664,0.05555555555555555,0.013888888888888888,0.06944444444444445,0.027777777777777776,0.0,0.027777777777777776,0.013888888888888888,0.125,0.041666666666666664
A000000192300,몰바니 볼륨 인크리징 프로틴 크림,38,5,3,1,2,1,3,0,1,2,0,5,0,0.13157894736842105,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.0,0.02631578947368421,0.05263157894736842,0.0,0.13157894736842105,0.0
A000000192405,더하르나이 시카이드 크림,57,13,3,3,3,7,9,0,0,2,8,5,1,0.22807017543859648,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.12280701754385964,0.15789473684210525,0.0,0.0,0.03508771929824561,0.14035087719298245,0.08771929824561403,0.017543859649122806
A000000192520,로벡틴 아쿠아 히알루로닉 수딩 크림,31,4,2,1,1,2,2,0,0,0,0,3,5,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.0967741935483871,0.16129032258064516
A000000192782,에스네이처 아쿠아 스쿠알란 수분크림,27,19,1,1,2,2,2,0,0,0,1,0,0,0.7037037037037037,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,0.0,0.0
A000000198166,라네즈 워터뱅크 모이스춰 크림,38,8,6,4,7,3,2,1,0,3,1,1,0,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.18421052631578946,0.07894736842105263,0.05263157894736842,0.02631578947368421,0.0,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.0
A000000198320,에스트라 아토베리어365 크림,42,4,6,4,8,1,2,0,0,2,0,0,0,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.19047619047619047,0.023809523809523808,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
A000000198721,아비브 어성초 크림 카밍,46,15,2,5,4,5,2,0,0,6,0,6,0,0.32608695652173914,0.043478260869565216,0.10869565217391304,0.08695652173913043,0.10869565217391304,0.043478260869565216,0.0,0.0,0.13043478260869565,0.0,0.13043478260869565,0.0
A000000199155,라운드랩 포 맨 소나무 진정 시카 크림,42,7,2,1,0,7,1,0,1,1,0,15,0,0.16666666666666666,0.047619047619047616,0.023809523809523808,0.0,0.16666666666666666,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.0,0.35714285714285715,0.0
A000000199257,로우퀘스트 베리어 리커버리 크림,57,9,8,5,5,4,1,0,0,1,0,8,7,0.15789473684210525,0.14035087719298245,0.08771929824561403,0.08771929824561403,0.07017543859649122,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.14035087719298245,0.12280701754385964
A000000199701,바이오힐보 프로바이오덤 3D리프팅 크림,79,10,8,3,2,2,19,1,0,1,17,2,3,0.12658227848101267,0.10126582278481013,0.0379746835443038,0.02531645569620253,0.02531645569620253,0.24050632911392406,0.012658227848101266,0.0,0.012658227848101266,0.21518987341772153,0.02531645569620253,0.0379746835443038
A000000199714,닥터지 더모이스처 배리어 D 인텐스 크림,63,18,4,3,9,3,3,0,1,2,0,1,0,0.2857142857142857,0.06349206349206349,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.0,0.015873015873015872,0.031746031746031744,0.0,0.015873015873015872,0.0
A000000199889,리얼베리어 익스트림 크림 라이트,48,16,3,1,4,6,1,0,0,1,0,0,8,0.3333333333333333,0.0625,0.020833333333333332,0.08333333333333333,0.125,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.16666666666666666
A000000200133,아벤느 똘레랑스 하이드레이팅 플루이드,9,2,1,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000000200356,닥터디퍼런트 비타리프트 에이 포르테,21,4,3,2,5,0,3,0,0,0,0,0,2,0.19047619047619047,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.09523809523809523
A000000200666,토리든 셀메이징 저분자 콜라겐 탄력 크림,58,17,4,1,1,2,3,0,0,1,1,1,0,0.29310344827586204,0.06896551724137931,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.05172413793103448,0.0,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,19,2,1,3,0,0,0,0,0,0,0,0,2,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
A000000200804,마몽드 플로라 글로우 로즈 스무딩 크림,34,9,3,1,0,0,2,1,1,1,0,1,3,0.2647058823529412,0.08823529411764706,0.029411764705882353,0.0,0.0,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.029411764705882353,0.08823529411764706
A000000202893,에스네이처 아쿠아 오아시스 수분 젤크림,24,12,0,2,0,1,0,0,0,2,0,1,0,0.5,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0
A000000203831,스킨푸드 블루 캐모마일 히알루로닉 수분크림,34,12,2,0,1,3,3,0,0,0,0,0,0,0.35294117647058826,0.058823529411764705,0.0,0.029411764705882353,0.08823529411764706,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
A000000204308,바이오힐보 프로바이오덤 콜라겐 리모델링 크림,67,10,3,3,5,2,17,1,2,4,12,5,0,0.14925373134328357,0.04477611940298507,0.04477611940298507,0.07462686567164178,0.029850746268656716,0.2537313432835821,0.014925373134328358,0.029850746268656716,0.05970149253731343,0.1791044776119403,0.07462686567164178,0.0
A000000204949,센텔리안24 마데카 크림 타임 리버스,108,15,8,6,5,15,8,3,0,2,1,9,19,0.1388888888888889,0.07407407407407407,0.05555555555555555,0.046296296296296294,0.1388888888888889,0.07407407407407407,0.027777777777777776,0.0,0.018518518518518517,0.009259259259259259,0.08333333333333333,0.17592592592592593
A000000206053,넘버즈인 1번 판토텐산 액티브 수딩크림,59,6,3,4,2,7,3,0,0,4,0,21,2,0.1016949152542373,0.05084745762711865,0.06779661016949153,0.03389830508474576,0.11864406779661017,0.05084745762711865,0.0,0.0,0.06779661016949153,0.0,0.3559322033898305,0.03389830508474576
A000000206212,메디큐브 제로 모공 원데이 크림,61,13,6,3,2,4,4,1,1,2,1,9,0,0.21311475409836064,0.09836065573770492,0.04918032786885246,0.03278688524590164,0.06557377049180328,0.06557377049180328,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.14754098360655737,0.0
